"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
4.491161493E1,-1.250548935E1,-4.821537733E-1,-4.913063049E0
4.492161493E1,-1.214955711E1,1.663011760E-1,-5.154139996E0
4.493161493E1,-1.134437180E1,8.727820516E-1,-5.216353416E0
4.494161493E1,-1.135334492E1,1.016949654E0,-4.840680122E0
4.495161493E1,-1.254616737E1,6.191428304E-1,-4.320241451E0
4.496161493E1,-1.401835155E1,6.939185411E-2,-4.383651257E0
4.497161493E1,-1.485464287E1,-4.295116663E-1,-3.516252756E0
4.498161493E1,-1.526321697E1,-2.279163599E-1,-1.832303882E0
4.499161493E1,-1.501436424E1,4.211367965E-1,3.409772217E-1
4.500161493E1,-1.394178104E1,9.200403094E-1,2.381456852E0
4.501161493E1,-1.276391411E1,9.780662656E-1,3.766302824E0
4.502161493E1,-1.173679543E1,5.886343718E-1,4.712664127E0
4.503161493E1,-1.092443180E1,2.979064286E-1,4.156930923E0
4.504161493E1,-1.045424175E1,2.506481707E-1,2.651845694E0
4.505161493E1,-1.056251717E1,8.255238086E-2,8.847461939E-1
4.506161493E1,-1.104646587E1,-8.135596663E-2,-1.338186026E0
4.507161493E1,-1.155613708E1,-1.621137410E-1,-2.922832966E0
4.508161493E1,-1.158604717E1,-3.792623878E-1,-3.526422262E0
4.509161493E1,-1.111346436E1,-6.035895348E-1,-3.165106058E0
4.510161493E1,-1.014197922E1,-7.645068169E-1,-2.359323025E0
4.511161493E1,-9.143573761E0,-6.951149702E-1,-1.554736495E0
4.512161493E1,-8.633303642E0,-3.589234054E-1,-1.088136077E0
4.513161493E1,-8.513064384E0,2.027917206E-1,-8.356932998E-1
4.514161493E1,-8.584251404E0,7.094719410E-1,-7.489534616E-1
4.515161493E1,-8.580661774E0,9.397810698E-1,-5.934200287E-1
4.516161493E1,-8.361120224E0,9.517452121E-1,-5.706881881E-1
4.517161493E1,-8.067999840E0,8.685946465E-1,-4.671986103E-1
4.518161493E1,-7.841279984E0,6.747759581E-1,-4.570291340E-1
4.519161493E1,-7.236494064E0,3.260220885E-1,-5.676971674E-1
4.520161493E1,-6.896114826E0,1.322034448E-1,-7.782655358E-1
4.521161493E1,-6.600003242E0,1.974078640E-2,-1.017547846E0
4.522161493E1,-6.555137634E0,-2.428714931E-1,-1.116251707E0
4.523161493E1,-6.567101955E0,-5.593222976E-1,-1.261615753E0
4.524161493E1,-6.569494724E0,-8.757730722E-1,-1.330409408E0
4.525161493E1,-6.610172749E0,-1.129412293E0,-1.337587833E0
4.526161493E1,-6.764509678E0,-1.408774376E0,-1.262812138E0
4.527161493E1,-6.839285374E0,-1.547558069E0,-1.213759303E0
4.528161493E1,-6.968497753E0,-1.573280931E0,-1.274776220E0
4.529161493E1,-7.061817646E0,-1.430907965E0,-1.504487276E0
4.530161493E1,-7.046264648E0,-1.288534999E0,-1.887338877E0
4.531161493E1,-7.028916359E0,-1.260419369E0,-2.201995134E0
